ID;Name;URL;Type;Feature Type;Output Format;Version;Visible;description
3471;Beobachtungen;https://geodienste.hamburg.de/HH_WFST_Artenkataster;WFS;beobachtungen;XML;1.1.0;Yes;Beobachtungen, bereitgestellt ?ber den WFS-Dienst (Feature-Type: beobachtungen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3473;lgv_tim_online;https://geodienste.hamburg.de/HH_WFS_TIMonline;WFS;lgv_tim_online;XML;1.1.0;Yes;lgv_tim_online, bereitgestellt ?ber den WFS-Dienst (Feature-Type: lgv_tim_online) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3496;staatsarchiv_lubi_db;https://geodienste.hamburg.de/HH_WFS_Luftbildmitten;WFS;staatsarchiv_lubi_db;XML;1.1.0;Yes;staatsarchiv_lubi_db, bereitgestellt ?ber den WFS-Dienst (Feature-Type: staatsarchiv_lubi_db) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3498;plis_planungsanlass;https://geodienste.hamburg.de/HH_WFS_PLIS;WFS;plis_planungsanlass;XML;1.1.0;Yes;plis_planungsanlass, bereitgestellt ?ber den WFS-Dienst (Feature-Type: plis_planungsanlass) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3499;plis_verfahrensname;https://geodienste.hamburg.de/HH_WFS_PLIS;WFS;plis_verfahrensname;XML;1.1.0;Yes;plis_verfahrensname, bereitgestellt ?ber den WFS-Dienst (Feature-Type: plis_verfahrensname) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3500;Bodendenkmäler;https://geodienste.hamburg.de/HH_WFS_Denkmal_public;WFS;fundplaetze_elemente_bodendenkmale;XML;1.1.0;Yes;Bodendenkmäler, bereitgestellt ?ber den WFS-Dienst (Feature-Type: fundplaetze_elemente_bodendenkmale) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3505;Archäologische Fundplätze;https://geodienste.hamburg.de/NI_WFS_Denkmal_planung;WFS;fundplaetze_elemente_bodendenkmale_niedersachsen;XML;1.1.0;Yes;Archäologische Fundplätze, bereitgestellt ?ber den WFS-Dienst (Feature-Type: fundplaetze_elemente_bodendenkmale_niedersachsen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3506;Archäologische Fundplätze Landkr. Harburg;https://geodienste.hamburg.de/NI_WFS_Denkmal_public;WFS;fundplaetze_elemente_bodendenkmale_niedersachsen;XML;1.1.0;Yes;Archäologische Fundplätze Landkr. Harburg, bereitgestellt ?ber den WFS-Dienst (Feature-Type: fundplaetze_elemente_bodendenkmale_niedersachsen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3513;Archäologische Fundplätze;https://geodienste.hamburg.de/NI_WMS_Denkmal_planung;WMS;;;1.3.0;Yes;Archäologische Fundplätze, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3514;Archäologische Fundplätze Landkr. Harburg;https://geodienste.hamburg.de/NI_WMS_Denkmal_public;WMS;;;1.3.0;Yes;Archäologische Fundplätze Landkr. Harburg, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3897;bsu_stadtwerkstatt_meldung;https://geodienste.hamburg.de/HH_WFS_Stadtwerkstatt;WFS;bsu_stadtwerkstatt_meldung;XML;1.1.0;Yes;bsu_stadtwerkstatt_meldung, bereitgestellt ?ber den WFS-Dienst (Feature-Type: bsu_stadtwerkstatt_meldung) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3900;Anliegen;https://geodienste.hamburg.de/HH_WFS_MML_T;WFS;Anliegen;XML;1.1.0;Yes;Anliegen, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Anliegen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3931;Historische Kulturlandschaften;https://geodienste.hamburg.de/MRH_WFS_Metropolregion;WFS;mrh_histkulturlandschaften;XML;1.1.0;Yes;Historische Kulturlandschaften, bereitgestellt ?ber den WFS-Dienst (Feature-Type: mrh_histkulturlandschaften) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
